bag,flipper,gait,run,expected_frequency_hz,parameters,notes,mapping_basis
control_vansh_rollAmpAndFrequency_1_control.bag,control,rollAmpAndFrequency,1,0.5,f=0.5 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_2_control.bag,control,rollAmpAndFrequency,2,0.75,f=0.75 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_3_control.bag,control,rollAmpAndFrequency,3,1,f=1 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_4_control.bag,control,rollAmpAndFrequency,4,1,f=1 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_5_control.bag,control,rollAmpAndFrequency,5,0.75,f=0.75 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_6_control.bag,control,rollAmpAndFrequency,6,0.5,f=0.5 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_7_control.bag,control,rollAmpAndFrequency,7,0.5,f=0.5 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_8_control.bag,control,rollAmpAndFrequency,8,0.75,f=0.75 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_9_control.bag,control,rollAmpAndFrequency,9,1,f=1 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_10_control.bag,control,rollAmpAndFrequency,10,0.5,f=0.5 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_11_control.bag,control,rollAmpAndFrequency,11,0.75,f=0.75 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_rollAmpAndFrequency_12_control.bag,control,rollAmpAndFrequency,12,1,f=1 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_1_control.bag,control,experimental_sinusoidalYaw,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_2_control.bag,control,experimental_sinusoidalYaw,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_3_control.bag,control,experimental_sinusoidalYaw,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_4_control.bag,control,experimental_sinusoidalYaw,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_5_control.bag,control,experimental_sinusoidalYaw,5,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_6_control.bag,control,experimental_sinusoidalYaw,6,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_7_control.bag,control,experimental_sinusoidalYaw,7,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_experimental_sinusoidalYaw_8_control.bag,control,experimental_sinusoidalYaw,8,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
control_vansh_yawPower_1_control.bag,control,yawPower,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_yawPower_2_control.bag,control,yawPower,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
control_vansh_yawPower_3_control.bag,control,yawPower,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
