amplitude1,amplitude1_deg_or_scale,amplitude2,amplitude2_deg_or_scale,angle_reference,center1,center1_deg,center2,center2_deg,direction,dt,frequency_hz,gait,harmonics,high_command,high_threshold,initial1,initial2,kind,low_command,low_threshold,modulation,notes,page,parameter_source,power_angle,power_fraction,recovery_angle,run,speed,table_frequency_hz
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.4,DOUBLESIN,299,2000,2800,2500,2000,double,1000,2200,,,9,pdf,,,,1,,0.4
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.67,DOUBLESIN,299,2000,2800,2500,2000,double,1000,2200,,0.67 Hz used literally from table; exact controller omega for this row was not provided.,9,pdf,,,,2,,0.67
75,75,22.5,22.5,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.7,,1,,0.5
75,75,30,30,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.7,,2,,0.5
75,75,45,45,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.7,,3,,0.5
75,75,45,45,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.5,,4,,0.5
75,75,22.5,22.5,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.7,,5,,0.5
75,75,30,30,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.7,,6,,0.5
75,75,45,45,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.7,,7,,0.5
75,75,45,45,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,experimental_sinusoidalYaw,299,2000,2800,2048,1000,piecewise_sine,1000,2200,,Rows 5-8 repeat settings 1-4; retained as separate runs.,2,pdf,,0.5,,8,,0.5
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.5,SIN,299,2000,2800,2500,2000,cosine_switch,1000,2200,,,6,pdf,,,,1,,0.5
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.75,SIN,299,2000,2800,2500,2000,cosine_switch,1000,2200,,,6,pdf,,,,2,,0.75
850,74.70703125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2200,193.359375,2000,175.78125,1,0.015,0.5,SINmiddle,299,2700,2850,2200,2000,cosine_switch,1700,1550,,,8,pdf,,,,1,,0.5
